cell	created	model	status	actual_n	completed_n	scored_n	correct	accuracy	max_tokens	max_connections	gpu_memory_utilization	sha256	path
c01s07	2026-09-03T20:17:01+00:00	vllm/ckpt/sft_v1	success	200	200	200	120	0.6	1024	32	0.35	f3a57e8de25a3eaa44ee784102e0fed50301a8702b3be9560c0775ffa197ce6a	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-03T20-17-01+00-00_gsm8k_CC7PMAVvb44nNZSyupaaLW.json
c01s07	2026-09-03T20:18:30+00:00	vllm/ckpt/sft_v1	success	200	200	200	138	0.69	1024	32	0.35	a4f111c66af2d9f348c644e3276c7a2544224467ac34f1756447711f9616843d	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-03T20-18-30+00-00_gsm8k_6TDyb2jaURAtd4TfhnP6U7.json
c01s07	2026-09-03T22:34:18+00:00	vllm/ckpt/m_400	success	200	200	200	144	0.72	1024	32	0.35	d9ab5b682aa76116a89eac403b8298012bd8223650ddb6121cb5e09d8911ff8a	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-03T22-34-18+00-00_gsm8k_eAXCMQ2SEtgPySPsw6eB6K.json
c01s07	2026-09-03T22:36:56+00:00	vllm/ckpt/m_200	success	200	200	200	140	0.7	1024	32	0.35	21ec86458f663ce93b7b55d5399c934ef795a88233cbb7b5a7734a258b80c03b	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-03T22-36-56+00-00_gsm8k_UyivTZ83UdSEYmZgcTRRJk.json
c01s07	2026-09-03T22:39:28+00:00	vllm/ckpt/m_300	success	200	200	200	139	0.695	1024	32	0.35	569cae2cd1381e15f04e45eff5d0e5ebff51ecd1a57cbfb2136f4f0d40235a94	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-03T22-39-28+00-00_gsm8k_Tgzp2wbCyRv46BYeqpgm73.json
c01s07	2026-09-04T00:26:29+00:00	vllm/ckpt/rft_v1	success	200	200	200	149	0.745	1024	32	0.35	8e740ede86152411267cb3701685368f1dc848a8c26b1a209b5a827c3265fc56	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T00-26-29+00-00_gsm8k_isgW9Qh4fzQwKgiEetNCu7.json
c01s07	2026-09-04T01:38:10+00:00	vllm/ckpt/g2_200	success	200	200	200	150	0.75	1024	32	0.35	5f1b6b08848c7e3f244a7b10ca819a6cb6961cf8630d34d952e5c7956024797e	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T01-38-10+00-00_gsm8k_LxH63USKVHTLLsYNnXcwBK.json
c01s07	2026-09-04T01:40:32+00:00	vllm/ckpt/g2_100	success	200	200	200	140	0.7	1024	32	0.35	de152cc1c0b84c6a85916d5e3b293f996390ef39a83e32e89f6c114692936fc8	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T01-40-32+00-00_gsm8k_QcxJfJSbRursqgXjdnd2rX.json
c01s07	2026-09-04T01:41:59+00:00	vllm/ckpt/g2_200	success	500	500	500	372	0.744	1024	48	0.4	13ece45db71c083f94554319013f4798539f36bb364f8002ba965927caaa751c	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T01-41-59+00-00_gsm8k_MVKpsws3LtzJYJ6RkqhyrZ.json
c01s07	2026-09-04T01:43:23+00:00	vllm/ckpt/rft_v1	success	500	500	500	366	0.732	1024	48	0.4	0b96275d5045ba40e38f24f119c8c85cf2725905047377e2c16359576ca7a5bd	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T01-43-23+00-00_gsm8k_dYFzpyK7VR8zLNVrCkkbQm.json
c01s07	2026-09-04T01:46:15+00:00	vllm/final_model	success	150	150	150	110	0.7333333333333333	4000	2	0.3	c675d531fc6a5ba73c0ec1c450e184d8bc6130999a6ad3c15e510b5fa471670c	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T01-46-15+00-00_gsm8k_HtAbhmTioyDzpHAZQUUoPk.json
c01s07	2026-09-04T02:43:26+00:00	vllm/ckpt/g3_150	success	500	500	500	358	0.716	1024	48	0.4	7e7800c42457603e6860d6c0ad4b59aa085de204ce4fbaabde28d0103c93cc6c	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T02-43-26+00-00_gsm8k_FJecToYrnfR3NCbAMy2Qfm.json
c01s07	2026-09-04T02:46:05+00:00	vllm/ckpt/g3_100	success	500	500	500	358	0.716	1024	48	0.4	ba4f23d36a5b00392ce316f834388787bfb1da89cdc99f547cbd4f42f352172f	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T02-46-05+00-00_gsm8k_FAM2qPLzeAadH2JvEzgiAA.json
c01s07	2026-09-04T02:47:46+00:00	vllm/final_model	success	1000	1000	1000	723	0.723	2048	48	0.4	39b7e3a75a56773251dff47642edfa4dfd1e38dc458b8b55aa6f71c8dae6a21c	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-04T02-47-46+00-00_gsm8k_b82nQzscgpzgBe3foew2XE.json
